SCaNombre,hogares_cs
ARGELIA II,3
BILBAO RURAL,3
LAS AGUAS,3
GIBRALTAR SUR,3
JUAN XXIII,3
LA MARIA,3
ATLANTA,3
SAN ISIDRO,3
NUEVO MUZU,3
EL CHANCO RURAL III,3
EL PLAN,3
EGIPTO,3
BARRANCAS ORIENTAL RURAL,2
VILLA ELISA,2
LA CAMPINA,2
TIMIZA B,2
SANTA MATILDE,2
VISION DE ORIENTE,2
TIBAQUE URBANO,2
TIMIZA,2
CASTILLA,2
SANTA INES,2
CASA DE TEJA,2
SAN CRISTOBAL NORTE,2
CORREDOR FERREO DEL SUR,2
ROMA,2
LA ESTANZUELA,2
JARDIN BOTANICO,2
RINCON DE LA VALVANERA,2
COSTA AZUL,2
CUNDINAMARCA,2
ORTEZAL,2
PARQUE NACIONAL ORIENTAL,2
PRADO VERANIEGO SUR,2
PRIMAVERA OCCIDENTAL,2
TUNAL ORIENTAL,2
LA LIBERIA,2
INTERINDUSTRIAL,2
GRANADA,2
MODELO SUR,2
BELEN FONTIBON,2
GARCES NAVAS,2
VILLA DEL RIO,1
BELLAVISTA LUCERO ALTO,1
LA LAGUNA FONTIBON,1
LA HORTUA,1
LA MACARENA,1
LA GRANJA,1
JUAN JOSE RONDON,1
JORGE ELIECER GAITAN,1
MARSELLA,1
MARIA CRISTINA,1
EL TINTAL III,1
EL TRIANGULO,1
EL REDIL,1
EL VERGEL ORIENTAL,1
FLORIDA BLANCA,1
FLORENCIA,1
LOS EJIDOS,1
LOS CEREZOS,1
LAS DELICIAS DEL CARMEN II SECTOR,1
LA PERSEVERANCIA I,1
LAS MERCEDES SUBA,1
ATAHUALPA,1
VILLABEL,1
TTES DE COLOMBIA,1
LA PAZ,1
PARQUE NACIONAL,1
DOCE DE OCTUBRE,1
EL LISTON,1
EL MIRADOR,1
PASTRANA,1
EL CEDRO,1
QUIRIGUA II,1
PROVIVIENDA,1
PUERTA DE TEJA,1
SAN IGNACIO,1
CIUDAD BERNA,1
CENTRAL DE MEZCLAS,1
SABANA DE TIBABUYES NORTE,1
CIUDAD KENNEDY OCCIDENTAL,1
CIUDAD KENNEDY CENTRAL,1
COLMENA I LOS PINARES,1
SAMPER MENDOZA,1
CIUDAD JARDIN SUR,1
OSPINA PEREZ SUR,1
PARAMO URBANO I,1
CANTAGALLO,1
SAN PEDRO RURAL,1
CANAVERALEJO RURAL,1
SAN JOSE DE USAQUEN,1
SAN PABLO JERICO,1
SANTANDER SUR,1
SANTANDER,1
SIBERIA,1
SANTA CECILIA DE SUBA I RURAL,1
LA CHUCUA,1
LA CATEDRAL,1
LA ESPERANZA,1
LA CONCORDIA,1
BOSQUE DE PINOS III RURAL,1
BOSA NOVA EL PORVENIR,1
LA FRAGUA,1
JERUSALEN,1
BRITALIA,1
VEINTE DE JULIO,1
VENECIA,1
VERSALLES FONTIBON,1
