dane12_ee,nom_establecimiento_educativo,nom_localidad,estudiantes_oficiales
211850000787,COLEGIO TENERIFE - GRANADA SUR (IED),USME,1062
111001046931,COLEGIO ATABANZHA (IED),USME,1060
111265000394,COLEGIO SIMON BOLIVAR (IED),ENGATIVA,1058
111001018341,COLEGIO FRANCISCO JAVIER MATIZ (IED),SAN CRISTOBAL,1056
111001801314,COLEGIO AGUDELO RESTREPO (IED),CIUDAD BOLIVAR,1051
111001800635,COLEGIO EL NOGAL (IED),CIUDAD BOLIVAR,1048
111001098876,COLEGIO LA ESPERANZA (IED),BOSA,1047
111001800694,COLEGIO LAUREL DE CERA (IED),BOSA,1047
111001028258,COLEGIO RAFAEL BERNAL JIMENEZ (IED),BARRIOS UNIDOS,1045
111001800678,COLEGIO PARQUES DE BOGOTA (IED),BOSA,1044
111001800414,COLEGIO EL ENSUEÃO (IED),CIUDAD BOLIVAR,1042
111001006122,COLEGIO LA MERCED (IED),PUENTE ARANDA,1041
111001800091,COLEGIO LA FELICIDAD (IED),FONTIBON,1040
111001800571,COLEGIO ANGELA RESTREPO MORENO (IED),CIUDAD BOLIVAR,1036
111001801071,COLEGIO LUCILA RUBIO DE LAVERDE (IED),ENGATIVA,1036
111001800643,COLEGIO DE LA BICI (IED),BOSA,1035
111001020443,COLEGIO ENTRE NUBES SUR ORIENTAL (IED),SAN CRISTOBAL,1034
111001041556,COLEGIO PROVINCIA DE QUEBEC (IED),USME,1033
111001014974,COLEGIO FRANCISCO DE MIRANDA (IED),KENNEDY,1032
111001075736,COLEGIO ISLA DEL SOL (IED),TUNJUELITO,1029
111001036625,COLEGIO INSTITUTO TECNICO DISTRITAL REPUBLICA DE GUATEMALA (IED),ENGATIVA,1028
111001024686,COLEGIO MORALBA SURORIENTAL (IED),SAN CRISTOBAL,1022
111001801055,COLEGIO ABEL RODRIGUEZ CESPEDES (IED),ENGATIVA,1022
111001065234,COLEGIO USMINIA (IED),USME,1018
111001011070,COLEGIO MIGUEL ANTONIO CARO (IED),ENGATIVA,1010
111001801241,COLEGIO FELIZA BURSZTYN (IED),KENNEDY,1010
111848002671,COLEGIO UNION COLOMBIA (IED),USAQUEN,1004
111001100021,COLEGIO GIMNASIO SABIO CALDAS (IED),CIUDAD BOLIVAR,1000
111001009580,COLEGIO INSTITUTO TECNICO JUAN DEL CORRAL (IED),ENGATIVA,996
111001098884,COLEGIO LOS NARANJOS (IED),BOSA,994
111001014001,COLEGIO EDUARDO SANTOS (IED),LOS MARTIRES,993
111001086606,COLEGIO LLANO ORIENTAL (IED),BOSA,983
111001016004,COLEGIO LA BELLEZA LOS LIBERTADORES (IED),SAN CRISTOBAL,975
111001030821,COLEGIO SANTA BARBARA (IED),CIUDAD BOLIVAR,972
111001086762,COLEGIO EL MINUTO DE BUENOS AIRES (IED),CIUDAD BOLIVAR,970
111001013242,COLEGIO AULAS COLOMBIANAS SAN LUIS (IED),SANTA FE,968
111001012301,COLEGIO SAN JOSE SUR ORIENTAL (IED),SAN CRISTOBAL,967
111848003910,COLEGIO GENERAL SANTANDER (IED),USAQUEN,957
111001009148,COLEGIO HELADIA MEJIA (IED),BARRIOS UNIDOS,954
111001075752,COLEGIO SOTAVENTO (IED),CIUDAD BOLIVAR,952
111001086631,COLEGIO SAN BENITO ABAD (IED),TUNJUELITO,952
111001008389,COLEGIO TECNICO DOMINGO FAUSTINO SARMIENTO (IED),BARRIOS UNIDOS,951
111001012441,COLEGIO MORISCO (IED),ENGATIVA,951
111001098973,COLEGIO LA JOYA (IED),CIUDAD BOLIVAR,945
111001024643,COLEGIO NUEVA ESPERANZA (IED),USME,945
111001029912,COLEGIO JUAN FRANCISCO BERBEO (IED),BARRIOS UNIDOS,935
111001801047,COLEGIO GLORIA VALENCIA DE CASTAÃO (IED),SAN CRISTOBAL,912
111001015733,COLEGIO ANTONIO BARAYA (IED),RAFAEL URIBE URIBE,907
111001046621,COLEGIO NUEVA DELHI (IED),SAN CRISTOBAL,891
211850001121,COLEGIO RURAL PASQUILLA (IED),CIUDAD BOLIVAR,887
111001028266,COLEGIO CIUDAD DE MONTREAL (IED),CIUDAD BOLIVAR,880
111001010839,COLEGIO EXTERNADO NACIONAL CAMILO TORRES (IED),SANTA FE,859
111001024830,COLEGIO FRANCISCO PRIMERO S.S. (IED),BARRIOS UNIDOS,856
111001013935,COLEGIO SANTA MARTHA (IED),USME,856
111001018325,COLEGIO JOSE JOAQUIN CASTRO MARTINEZ (IED),SAN CRISTOBAL,855
111001036544,COLEGIO ANTONIO JOSE URIBE (IED),SANTA FE,854
111001034134,COLEGIO CLEMENCIA DE CAYCEDO (IED),RAFAEL URIBE URIBE,851
111001032433,COLEGIO REPUBLICA DEL ECUADOR (IED),SAN CRISTOBAL,839
111001041459,COLEGIO RICAURTE (IED),LOS MARTIRES,835
111279000184,COLEGIO LUIS ANGEL ARANGO (IED),FONTIBON,834
111001032409,COLEGIO JORGE SOTO DEL CORRAL (IED),SANTA FE,833
111001000078,COLEGIO DE CULTURA POPULAR (IED),PUENTE ARANDA,829
111001009831,COLEGIO POLICARPA SALAVARRIETA (IED),SANTA FE,822
111001014958,COLEGIO CLEMENCIA HOLGUIN DE URDANETA (IED),RAFAEL URIBE URIBE,818
111001018252,COLEGIO JOSE MARIA CARBONELL (IED),SAN CRISTOBAL,815
